job_name,source_tb_name,sink_location,sink_db_name,sink_tb_name
dump_incremental,baemin_sales_vats,s3://kcd-de-production/raw/db/snowdon/incremental/baemin_sales_vats,snowdon,baemin_sales_vats
dump_incremental,baedaltong_orders,s3://kcd-de-production/raw/db/snowdon/incremental/baedaltong_orders,snowdon,baedaltong_orders
dump_incremental,baedaltong_payments,s3://kcd-de-production/raw/db/snowdon/incremental/baedaltong_payments,snowdon,baedaltong_payments
dump_incremental,yogiyo_orders,s3://kcd-de-production/raw/db/snowdon/incremental/yogiyo_orders,snowdon,yogiyo_orders
dump_incremental,yogiyo_payments,s3://kcd-de-production/raw/db/snowdon/incremental/yogiyo_payments,snowdon,yogiyo_payments
dump_incremental,card_purchases_approvals,s3://kcd-de-production/raw/db/snowdon/incremental/card_purchases_approvals,snowdon,card_purchases_approvals
dump_incremental,card_purchases_bills,s3://kcd-de-production/raw/db/snowdon/incremental/card_purchases_bills,snowdon,card_purchases_bills
dump_incremental,card_purchases_payments,s3://kcd-de-production/raw/db/snowdon/incremental/card_purchases_payments,snowdon,card_purchases_payments
dump_incremental,vendor_transactions,s3://kcd-de-production/raw/db/snowdon/incremental/vendor_transactions,snowdon,vendor_transactions
dump_incremental,vendor_invoices,s3://kcd-de-production/raw/db/snowdon/incremental/vendor_invoices,snowdon,vendor_invoices
dump_incremental,customer_transactions,s3://kcd-de-production/raw/db/snowdon/incremental/customer_transactions,snowdon,customer_transactions
dump_incremental,customer_invoices,s3://kcd-de-production/raw/db/snowdon/incremental/customer_invoices,snowdon,customer_invoices
cashnote_user_meta_es_sink,cashnote_user_meta,cashnote_user_cube-2021-01-29,,
semas_daily_sales_stat,target_businesses_daily_ratio,s3://kcd-de-staging/work/ryan/semas_stats/2020-12-10/targets,,
semas_daily_sales_stat,semas_businesses_daily_ratio,s3://kcd-de-staging/work/ryan/semas_stats/2020-12-10/semas_businesses,,
aggregate_user_tags,stat,s3://kcd-de-production/service/market_area/analysis/user_tags_aggr,,
aggregate_user_tags,aggr_user_tags,s3://kcd-de-production/service/market_area/analysis/user_tags_aggr,,
add_visit_orders,visits_approved,s3://kcd-de-production/raw/etl/snowdon/card_sales/visits,snowdon,card_sales_visits
add_visit_orders,visits_cancelled,s3://kcd-de-production/raw/etl/snowdon/card_sales/visits,snowdon,card_sales_visits
daily_transaction_type_stats,credentials,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/daily_transaction,,
daily_transaction_type_stats,transactions_raw,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/daily_transaction,,
daily_transaction_type_stats,credential_keys,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/daily_transaction,,
daily_transaction_type_stats,transactions_without_canceled,s3://kcd-de-staging/work/ryan/DR/DR-71/210115/2020/results/daily_transaction_type_stats,,
build_bank_transactions,bank_accounts,s3://kcd-de-production/test/raw/etl/snowdon/bank/bank_transactions_merged,,
build_bank_transactions,bank_transactions_unique,s3://kcd-de-production/test/raw/etl/snowdon/bank/bank_transactions_merged,,
pos_menus_tok_k,pos_menus_with_time_bucket_v2,s3://kcd-de-production/raw/etl/pos/pos_topk_menus_v2,,
build_session,txs,s3://kcd-de-production/raw/etl/snowdon/places/similarity/sessions,,
build_daily_reports,merged_stat,s3://kcd-de-staging/raw/stat/snowdon/report/daily_report/report,,
build_nice_monthly_variables,address_monthly_stats,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/businesses_with_nice_monthly_variables,,
build_nice_monthly_variables,businesses_monthly_stats,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/businesses_with_nice_monthly_variables,,
build_nice_monthly_variables,classification_monthly_stats,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/businesses_with_nice_monthly_variables,,
build_nice_monthly_variables,hometax_sales_monthly_stat,s3://kcd-de-staging/work/ryan/nice_monthly/2021-01-01/businesses_with_nice_monthly_variables,,
payments,reformat_payments,s3://kcd-data-staging/raw/etl/snowdon/card_sales/payments,,
cashnote_user_stats_es_sink,cashnote_user_stats,cashnote_user_cube-2021-01-29,,
match_to_purchases,purchases_without_cancel,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/merged/purchases_current,,
match_to_purchases,purchases_with_cancel,s3://kcd-de-staging/raw/etl/snowdon/card_sales/matches/merged/purchases_current,,
dedup_payments,pos_payments_distinct_v2,s3://kcd-de-production/raw/etl/pos/pos_payments_v2,,
store_info_sink,store_info,store_info-2021-01-24,,
delivery_app_orders_stat,weekly_delivery_apps_order_stats,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_orders_stat,,
delivery_app_orders_stat,hourly_delivery_apps_order_stats,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_orders_stat,,
delivery_app_orders_stat,monthly_delivery_apps_order_stats,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_orders_stat,,
delivery_app_orders_stat,daily_delivery_apps_order_stats,s3://kcd-de-production/raw/stat/snowdon/delivery_app/delivery_app_orders_stat,,
